arm,ci_high,ci_low,mean_reduction,n
topk,0.037470374803925385,-0.3889977215198813,-0.17417608721254488,26
randomk,0.4592240882713881,-0.10175108462130905,0.1655088291906071,26
topk_minus_randomk,-0.04249729591151653,-0.6183709014526942,-0.33968491640315196,26
