abs_selectivity_index,feature_id,mean_activation_side_a,mean_activation_side_b,n_side_a,n_side_b,pooled_std,selectivity_index,std_side_a,std_side_b
0.5908624804089291,7629,2.088792718373812,1.1840603351593018,52,52,1.5312063520911932,0.5908624804089291,1.3928185602791872,1.658083907258812
0.5461646231790952,15299,1.5712711123319774,3.674623053807479,52,52,3.851131787394773,-0.5461646231790952,2.2560379457736293,4.957088346498821
0.524510260767898,4280,4.4180348469660835,3.4007315085484433,52,52,1.9395299091542635,0.524510260767898,1.7202175369554864,2.136446620573211
0.49939893644489414,13608,1.8415288008176363,3.929523046200092,52,52,4.181014601765885,-0.49939893644489414,3.4327207378594427,4.814373742890015
0.43327148907789553,1693,1.2268427656247065,2.04949001624034,52,52,1.898687708176742,-0.43327148907789553,1.7294467920469017,2.0540311146235295
0.4146655238089394,15314,4.4536778926849365,2.8831357726683984,52,52,3.7874914354832607,0.4146655238089394,3.839264493609786,3.735000789267024
0.39238350150925205,6117,2.5468270824505734,1.7697692582240472,52,52,1.9803529486782052,0.39238350150925205,2.0184660608758986,1.9414917882311675
0.34999312772848873,11037,2.418219240812155,1.7099348260806158,52,52,2.0237094920360805,0.34999312772848873,2.1572161312857854,1.8807495259162634
0.30977796230378923,3693,5.274787357220283,4.613396043960865,52,52,2.1350495959774327,0.30977796230378923,2.1485822884187007,2.121430579693867
0.3070549030068751,13669,3.6883108157377977,4.726951525761531,52,52,3.382589562494228,-0.3070549030068751,3.1228255955572317,3.623780428823248
0.3020293855712836,7303,4.479281480495747,5.3675512579771185,52,52,2.9410044847166916,-0.3020293855712836,2.9989333469466803,2.8819114384065605
0.23916981276495783,10595,1.6822496744302602,1.1761277455549974,52,52,2.1161614127810098,0.23916981276495783,2.532769827396883,1.5941628685032776
0.19422820561700208,12738,3.517572439633883,2.9105903597978444,52,52,3.1250975001691796,0.19422820561700208,3.123628907057078,3.126565403461875
0.18995798754037116,7874,3.0038396188846,3.5612716789429006,52,52,2.9345018194606385,-0.18995798754037116,2.8271645521733006,3.03804911938078
0.1012424708024047,9819,3.469748075191791,3.1601532881076517,52,52,3.0579536891032286,0.1012424708024047,3.3055612302965476,2.7884451728804827
0.09796864908950385,10876,22.601942740953884,22.186487931471603,52,52,4.240691418565163,0.09796864908950385,3.69084358312001,4.727007622156567
0.0616610008496622,4115,10.168650012749891,9.864295849433312,52,52,4.935926422255716,0.0616610008496622,5.127423181940691,4.736694079750286
0.03934440186429782,2655,14.411984920501709,14.700290166414701,52,52,7.327732339339703,-0.03934440186429782,6.9527611665772096,7.684428061641657
0.028652013554642183,140,2.707942980986375,2.7581588809306803,52,52,1.7526132970912778,-0.028652013554642183,1.6688096828769716,1.8325886010281685
0.0174116027193706,1208,5.179788947105408,5.08596997994643,52,52,5.388301621114,0.0174116027193706,5.679553198269022,5.080380319250877
