cluster_id,mean_centroid_similarity,size,stability_ari_ci_high,stability_ari_ci_low,stability_mean_ari,stability_n_bootstrap
0,0.914760056211045,7,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
1,1.0000000000000002,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
2,1.0000000000000002,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
3,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
4,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
5,0.9999999999999999,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
6,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
7,0.9999999999999998,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
8,0.9699657993284824,2,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
9,1.0000000000000002,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
10,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
11,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
12,1.0,1,0.7734637403008449,0.7287168488387099,0.7518349410184242,200
