head,layer,pair_id,side,target_to_context_mass
0,3,mole-lex-3,b,0.9874732494354248
7,3,jam-lex-1,a,0.9630793333053589
3,2,jam-lex-1,a,0.05405829846858978
5,3,jam-lex-1,a,0.9480859041213989
2,3,jam-lex-1,a,0.011044868268072605
0,3,jam-lex-1,a,0.9867596626281738
7,3,jam-lex-1,b,0.9801640510559082
3,2,jam-lex-1,b,0.05986638367176056
5,3,jam-lex-1,b,0.9649513959884644
2,3,jam-lex-1,b,0.018903259187936783
0,3,jam-lex-1,b,0.9867508411407471
7,3,jam-lex-2,a,0.9760282635688782
3,2,jam-lex-2,a,0.019953355193138123
5,3,jam-lex-2,a,0.9368398189544678
2,3,jam-lex-2,a,0.04230429232120514
0,3,jam-lex-2,a,0.988465428352356
7,3,jam-lex-2,b,0.9639220833778381
3,2,jam-lex-2,b,0.013124076649546623
5,3,jam-lex-2,b,0.9251987934112549
2,3,jam-lex-2,b,0.023225290700793266
0,3,jam-lex-2,b,0.9899030327796936
7,3,jam-lex-3,a,0.9756356477737427
3,2,jam-lex-3,a,0.026499507948756218
5,3,jam-lex-3,a,0.9116839170455933
2,3,jam-lex-3,a,0.017433537170290947
0,3,jam-lex-3,a,0.991653323173523
7,3,jam-lex-3,b,0.9612181186676025
3,2,jam-lex-3,b,0.01643439568579197
5,3,jam-lex-3,b,0.9210186004638672
2,3,jam-lex-3,b,0.020887743681669235
0,3,jam-lex-3,b,0.9906376600265503
7,3,seal-lex-0,a,0.9626824259757996
3,2,seal-lex-0,a,0.28138816356658936
5,3,seal-lex-0,a,0.9760576486587524
2,3,seal-lex-0,a,0.021751370280981064
0,3,seal-lex-0,a,0.9820569753646851
7,3,seal-lex-0,b,0.9507712125778198
3,2,seal-lex-0,b,0.3560996651649475
5,3,seal-lex-0,b,0.931512713432312
2,3,seal-lex-0,b,0.009420194663107395
0,3,seal-lex-0,b,0.9790884256362915
7,3,seal-lex-2,a,0.9778369069099426
3,2,seal-lex-2,a,0.26020973920822144
5,3,seal-lex-2,a,0.9783586263656616
2,3,seal-lex-2,a,0.03399473428726196
0,3,seal-lex-2,a,0.9828178286552429
7,3,seal-lex-2,b,0.9605133533477783
3,2,seal-lex-2,b,0.3186244070529938
5,3,seal-lex-2,b,0.9709473252296448
2,3,seal-lex-2,b,0.08280448615550995
0,3,seal-lex-2,b,0.9862775802612305
7,3,seal-lex-3,a,0.970482587814331
3,2,seal-lex-3,a,0.19819007813930511
5,3,seal-lex-3,a,0.9782233238220215
2,3,seal-lex-3,a,0.03313702344894409
0,3,seal-lex-3,a,0.9771139621734619
7,3,seal-lex-3,b,0.9753031134605408
3,2,seal-lex-3,b,0.34931594133377075
5,3,seal-lex-3,b,0.959243893623352
2,3,seal-lex-3,b,0.024584807455539703
0,3,seal-lex-3,b,0.9810267090797424
7,3,bark-lex-2,a,0.9364281296730042
3,2,bark-lex-2,a,0.3705962300300598
5,3,bark-lex-2,a,0.9230494499206543
2,3,bark-lex-2,a,0.041029609739780426
0,3,bark-lex-2,a,0.9730911254882812
7,3,bark-lex-2,b,0.9678114652633667
3,2,bark-lex-2,b,0.1499686986207962
5,3,bark-lex-2,b,0.9195219874382019
2,3,bark-lex-2,b,0.014633244834840298
0,3,bark-lex-2,b,0.9267498254776001
7,3,crane-lex-0,a,0.9317958950996399
3,2,crane-lex-0,a,0.33907192945480347
5,3,crane-lex-0,a,0.9030660390853882
2,3,crane-lex-0,a,0.010314412415027618
0,3,crane-lex-0,a,0.9741188287734985
7,3,crane-lex-0,b,0.9633570313453674
3,2,crane-lex-0,b,0.3299850523471832
5,3,crane-lex-0,b,0.8424955606460571
2,3,crane-lex-0,b,0.016791118308901787
0,3,crane-lex-0,b,0.9839791059494019
7,3,crane-lex-1,a,0.9120033979415894
3,2,crane-lex-1,a,0.19885990023612976
5,3,crane-lex-1,a,0.8511993885040283
2,3,crane-lex-1,a,0.0106721892952919
0,3,crane-lex-1,a,0.9763727784156799
7,3,crane-lex-1,b,0.9667270183563232
3,2,crane-lex-1,b,0.1881769597530365
5,3,crane-lex-1,b,0.8359742760658264
2,3,crane-lex-1,b,0.019746994599699974
0,3,crane-lex-1,b,0.982248067855835
7,3,crane-lex-2,a,0.9800712466239929
3,2,crane-lex-2,a,0.46342864632606506
5,3,crane-lex-2,a,0.8572390079498291
2,3,crane-lex-2,a,0.01700008101761341
0,3,crane-lex-2,a,0.9919565916061401
7,3,crane-lex-2,b,0.9592397809028625
3,2,crane-lex-2,b,0.39618346095085144
5,3,crane-lex-2,b,0.8614756464958191
2,3,crane-lex-2,b,0.004761303775012493
0,3,crane-lex-2,b,0.9781936407089233
7,3,club-lex-0,a,0.9222099184989929
3,2,club-lex-0,a,0.08389897644519806
5,3,club-lex-0,a,0.9562265872955322
2,3,club-lex-0,a,0.01993953064084053
0,3,club-lex-0,a,0.9551342725753784
