ablated_context_effect,arm,baseline_context_effect,n_heads,pair_id,reduction
3.617039569964108,topk,3.103965882028704,5,bank-lex-0,-0.5130736879354041
3.2984304190083757,randomk,3.103965882028704,5,bank-lex-0,-0.1944645369796718
1.9702866277302409,topk,1.51115907641138,5,bank-lex-3,-0.45912755131886085
0.3153018879601759,randomk,1.51115907641138,5,bank-lex-3,1.1958571884512041
1.7640478679520566,topk,1.7402078270434798,5,bat-lex-1,-0.02384004090857683
1.7644847372878587,randomk,1.7402078270434798,5,bat-lex-1,-0.024276910244378946
1.301647205263686,topk,1.4814865244183322,5,bat-lex-2,0.17983931915464613
1.4082150166019933,randomk,1.4814865244183322,5,bat-lex-2,0.07327150781633884
3.322209862932554,topk,3.9542655978496137,5,spring-lex-0,0.6320557349170599
3.9067791117499584,randomk,3.9542655978496137,5,spring-lex-0,0.047486486099655334
3.4301416191567125,topk,3.154079925258692,5,spring-lex-1,-0.27606169389802027
3.099584800994876,randomk,3.154079925258692,5,spring-lex-1,0.05449512426381631
2.8340997065802314,topk,2.2758019168944474,5,spring-lex-3,-0.5582977896857839
1.3316700988417245,randomk,2.2758019168944474,5,spring-lex-3,0.944131818052723
5.659480462756235,topk,3.9804673270220414,5,match-lex-2,-1.679013135734194
3.9217317905070708,randomk,3.9804673270220414,5,match-lex-2,0.058735536514970654
2.168818724247645,topk,2.4524902705400886,5,pitcher-lex-1,0.28367154629244373
2.696825526628347,randomk,2.4524902705400886,5,pitcher-lex-1,-0.24433525608825857
3.1069660422851424,topk,2.588491176811821,5,pitcher-lex-2,-0.5184748654733213
1.9563589954006257,randomk,2.588491176811821,5,pitcher-lex-2,0.6321321814111953
3.8025703720247357,topk,4.00732312916497,5,mole-lex-0,0.2047527571402341
3.8447643589904272,randomk,4.00732312916497,5,mole-lex-0,0.16255877017454257
1.8983410033815797,topk,2.4541239684519263,5,mole-lex-3,0.5557829650703465
2.293754920762259,randomk,2.4541239684519263,5,mole-lex-3,0.1603690476896671
2.807794714573462,topk,2.529243676506979,5,jam-lex-1,-0.27855103806648307
2.5209180495566677,randomk,2.529243676506979,5,jam-lex-1,0.00832562695031136
9.3007942951418,topk,8.436864774828464,5,jam-lex-2,-0.8639295203133361
8.594907144860512,randomk,8.436864774828464,5,jam-lex-2,-0.15804237003204769
3.4951752202831825,topk,3.79215064550514,5,jam-lex-3,0.2969754252219574
4.427012174202657,randomk,3.79215064550514,5,jam-lex-3,-0.6348615286975172
4.313547884164137,topk,3.802274645665476,5,seal-lex-0,-0.5112732384986614
4.048635591427443,randomk,3.802274645665476,5,seal-lex-0,-0.2463609457619671
6.868002777273631,topk,6.363119566590833,5,seal-lex-2,-0.5048832106827978
6.392345121032268,randomk,6.363119566590833,5,seal-lex-2,-0.029225554441435264
7.359707217387185,topk,5.318987185218932,5,seal-lex-3,-2.0407200321682533
5.412308323623332,randomk,5.318987185218932,5,seal-lex-3,-0.09332113840440037
2.3017316856901036,topk,1.221751273170554,5,bark-lex-2,-1.0799804125195496
1.9749165174472179,randomk,1.221751273170554,5,bark-lex-2,-0.7531652442766639
3.203969695057073,topk,2.5470416827287097,5,crane-lex-0,-0.6569280123283634
2.3994067467630185,randomk,2.5470416827287097,5,crane-lex-0,0.14763493596569122
2.526720362710663,topk,2.250052425163954,5,crane-lex-1,-0.27666793754670893
2.096226182382881,randomk,2.250052425163954,5,crane-lex-1,0.15382624278107304
3.0379754477363807,topk,2.4464734612391097,5,crane-lex-2,-0.591501986497271
3.3489356026111983,randomk,2.4464734612391097,5,crane-lex-2,-0.9024621413720886
3.7778004312409936,topk,3.08602941497516,5,club-lex-0,-0.6917710162658337
2.1575516526213594,randomk,3.08602941497516,5,club-lex-0,0.9284777623538005
3.8929850299517232,topk,4.453708521442106,5,watch-lex-2,0.5607234914903829
4.438113517674704,randomk,4.453708521442106,5,watch-lex-2,0.01559500376740175
4.509821375021305,topk,3.957693743307717,5,watch-lex-3,-0.5521276317135881
4.065212842176843,randomk,3.957693743307717,5,watch-lex-3,-0.1075190988691257
4.1569192354271625,topk,4.301985142911456,5,date-lex-2,0.1450659074842937
4.546741170626097,randomk,4.301985142911456,5,date-lex-2,-0.244756027714641
