bootstrap_id,clt_scale,jaccard_vs_base_l12_k20,kind,name,random_effect_ci_high_l12_k20,random_effect_ci_low_l12_k20,random_effect_mean_l12_k20,split_seed,subset_variant,summary_path,top20_l12,topk_effect_ci_high_l12_k20,topk_effect_ci_low_l12_k20,topk_effect_mean_l12_k20,topk_minus_random_mean_l12_k20
,,1.0,split_seed,topk_split_seed_0_l12_k20,0.00687754685416615,-0.0013048907916446452,0.002389600503739734,0,,results/disamb_followups_20260227T123857Z/runs/topk_split_seed_0_l12_k20.summary.json,13407 56 499 4814 10708 15560 6183 924 5258 8605 12329 7314 15188 15777 14956 13492 5764 4374 5058 11663,0.1677072760703743,0.042682155075151315,0.10255471515235744,0.1001651146486177
,,0.6,split_seed,topk_split_seed_1_l12_k20,-0.0010479426235908563,-0.008666410096627521,-0.00448282025040964,1,,results/disamb_followups_20260227T123857Z/runs/topk_split_seed_1_l12_k20.summary.json,13407 56 6183 15188 10213 8605 499 15560 7314 4814 12329 5258 10708 14956 4424 6594 14300 4374 15743 924,0.1220225305517435,-0.024560739867265088,0.0457692114451104,0.05025203169552004
,,0.6,split_seed,topk_split_seed_2_l12_k20,0.0016008550522499424,-0.01008390457622327,-0.00358888701240019,2,,results/disamb_followups_20260227T123857Z/runs/topk_split_seed_2_l12_k20.summary.json,13407 499 5258 15188 56 4814 7314 8605 6183 14956 15743 10708 12329 15777 14300 4424 924 10213 4374 9681,0.1329097553598599,-0.018948883003173846,0.06192500591663968,0.06551389292903986
